Date,Open,High,Low,Close,Adj Close,Volume
4/16/90,344.339996,347.299988,344.100006,344.73999,344.73999,142810000
4/17/90,344.73999,345.190002,342.059998,344.679993,344.679993,127990000
4/18/90,344.679993,345.329987,340.109985,340.720001,340.720001,147130000
4/19/90,340.720001,340.720001,337.589996,338.089996,338.089996,152930000
4/20/90,338.089996,338.519989,333.410004,335.119995,335.119995,174260000
4/23/90,335.119995,335.119995,330.089996,331.049988,331.049988,136150000
4/24/90,331.049988,332.970001,329.709991,330.359985,330.359985,137360000
4/25/90,330.359985,332.73999,330.359985,332.029999,332.029999,133480000
4/26/90,332.029999,333.76001,330.670013,332.920013,332.920013,141330000
4/27/90,332.920013,333.570007,328.709991,329.109985,329.109985,130630000
4/30/90,329.109985,331.309998,327.76001,330.799988,330.799988,122750000
5/1/90,330.799988,332.829987,330.799988,332.25,332.25,149020000
5/2/90,332.25,334.480011,332.149994,334.480011,334.480011,141610000
5/3/90,334.480011,337.019989,334.470001,335.570007,335.570007,145560000
5/4/90,335.579987,338.459991,335.170013,338.390015,338.390015,140550000
5/7/90,338.390015,341.070007,338.109985,340.529999,340.529999,132760000
5/8/90,340.529999,342.029999,340.170013,342.01001,342.01001,144230000
5/9/90,342.01001,343.079987,340.899994,342.859985,342.859985,152220000
5/10/90,342.869995,344.980011,342.769989,343.820007,343.820007,158460000
5/11/90,343.820007,352.309998,343.820007,352,352,234040000
5/14/90,352,358.410004,351.950012,354.75,354.75,225410000
5/15/90,354.75,355.089996,352.839996,354.279999,354.279999,165730000
5/16/90,354.269989,354.679993,351.950012,354,354,159810000
5/17/90,354,356.920013,354,354.470001,354.470001,164770000
5/18/90,354.470001,354.640015,352.519989,354.640015,354.640015,162520000
5/21/90,354.640015,359.070007,353.779999,358,358,166280000
5/22/90,358,360.5,356.089996,358.429993,358.429993,203350000
5/23/90,358.429993,359.290009,356.98999,359.290009,359.290009,172330000
5/24/90,359.290009,359.559998,357.869995,358.410004,358.410004,155140000
5/25/90,358.410004,358.410004,354.320007,354.579987,354.579987,120250000
5/29/90,354.579987,360.649994,354.549988,360.649994,360.649994,137410000
5/30/90,360.649994,362.26001,360,360.859985,360.859985,199540000
5/31/90,360.859985,361.839996,360.230011,361.230011,361.230011,165690000
6/1/90,361.26001,363.519989,361.209991,363.160004,363.160004,187860000
6/4/90,363.160004,367.850006,362.429993,367.399994,367.399994,175520000
6/5/90,367.399994,368.779999,365.48999,366.640015,366.640015,199720000
6/6/90,366.640015,366.640015,364.420013,364.959991,364.959991,164030000
6/7/90,365.920013,365.920013,361.600006,363.149994,363.149994,160360000
6/8/90,363.149994,363.48999,357.679993,358.709991,358.709991,142600000
6/11/90,358.709991,361.630005,357.700012,361.630005,361.630005,119550000
6/12/90,361.630005,367.269989,361.149994,366.25,366.25,157100000
6/13/90,366.25,367.089996,364.51001,364.899994,364.899994,158910000
6/14/90,364.899994,364.899994,361.640015,362.899994,362.899994,135770000
6/15/90,362.890015,363.140015,360.709991,362.910004,362.910004,205130000
6/18/90,362.910004,362.910004,356.880005,356.880005,356.880005,133470000
6/19/90,356.880005,358.899994,356.179993,358.470001,358.470001,134930000
6/20/90,358.470001,359.910004,357,359.100006,359.100006,137420000
6/21/90,359.100006,360.880005,357.630005,360.470001,360.470001,138570000
6/22/90,360.519989,363.200012,355.309998,355.429993,355.429993,172570000
6/25/90,355.420013,356.410004,351.910004,352.309998,352.309998,133100000
6/26/90,352.320007,356.089996,351.850006,352.059998,352.059998,141420000
6/27/90,352.059998,355.890015,351.230011,355.140015,355.140015,146620000
6/28/90,355.160004,357.630005,355.160004,357.630005,357.630005,136120000
6/29/90,357.640015,359.089996,357.299988,358.019989,358.019989,145510000
7/2/90,358.019989,359.579987,357.540009,359.540009,359.540009,130200000
7/3/90,359.540009,360.730011,359.440002,360.160004,360.160004,130050000
7/5/90,360.160004,360.160004,354.859985,355.679993,355.679993,128320000
7/6/90,355.690002,359.019989,354.640015,358.420013,358.420013,111730000
7/9/90,358.420013,360.049988,358.109985,359.519989,359.519989,119390000
7/10/90,359.519989,359.73999,356.410004,356.48999,356.48999,147630000
7/11/90,356.48999,361.230011,356.48999,361.230011,361.230011,162220000
7/12/90,361.230011,365.459991,360.570007,365.440002,365.440002,213180000
7/13/90,365.450012,369.679993,365.450012,367.309998,367.309998,215600000
7/16/90,367.309998,369.779999,367.309998,368.950012,368.950012,149430000
7/17/90,368.950012,369.399994,364.98999,367.519989,367.519989,176790000
7/18/90,367.519989,367.519989,362.950012,364.220001,364.220001,168760000
7/19/90,364.220001,365.320007,361.290009,365.320007,365.320007,161990000
